نام محصول,توضیحات,لیوانی,نیم‌لیتری,یک‌لیتری,یک‌ونیم‌لیتری
منو ویژه فصلی,,,,,
طالبی,,150,150,300,450
هندوانه,,150,150,300,450
هندوانه توت‌فرنگی,,230,230,460,690
هندوانه لیمو,,160,160,320,480
طالبی بستنی,,220,220,440,660
هویج بستنی,,150,150,300,450
ترش‌های سلامت,,,,,
زغال اخته,,300,300,600,900
زغال اخته آلبالو,,250,250,500,750
زغال اخته شاه‌توت,,280,280,560,840
زغال اخته انار,,250,250,500,750
زغال اخته زرشک,,250,250,500,750
آلبالو,,250,250,500,750
آلبالو زرشک,,250,250,500,750
آلبالو انار,,250,250,500,750
آلبالو شاه‌توت,,280,280,560,840
زرشک,,200,200,400,600
زرشک شاه‌توت,,250,250,500,750
میکس ترش,,300,300,600,900
طبیعی‌های سلامت,,,,,
آب سیب,,180,180,360,540
آب هویج,,90,90,180,270
آب هندوانه,,150,150,300,450
آب طالبی,,150,150,300,450
آب آناناس,,750,750,1500,2250
آب پرتقال,,250,250,500,750
آب انار,,200,200,400,600
ترکیبی‌های سلامت,,,,,
سیب + هویج,,120,120,240,360
سیب + پرتقال,,220,220,440,660
آناناس + پرتقال,,500,500,1000,1500
آناناس + انبه,,550,550,1100,1650
هویج + زنجبیل,,140,140,280,420
موز + توت‌فرنگی,,350,350,700,1050
میلک شیک‌ها,,,,,
شیر بسته,,0,350,0,0
میلک شیک توت‌فرنگی,,0,300,0,0
میلک شیک شکلاتی کیت کت,,0,300,0,0
میلک شیک انبه بسته,,0,350,0,0
میلک شیک نسکافه,,0,300,0,0
میلک شیک توتال بسته,,0,350,0,0
میلک شیک آواکادو بسته,,0,500,0,0
شیک معجون,,0,400,0,0
